t		|				r1			|			v1				|				r2			|			v2				|				r3			|			v3				|
   959.90	|	 11413.75 19580.16 27636.35	|	     6.77    20.44    32.18	|	 13644.42 20758.81 30535.55	|	    30.25    34.41    -7.95	|	 12798.51 23494.20 29216.38	|	    42.42    11.28    36.30	|
   969.90	|	 11483.37 19786.76 27960.43	|	     7.17    20.88    32.63	|	 13931.94 21098.73 30437.91	|	    27.16    33.56   -11.55	|	 13218.06 23589.14 29574.76	|	    41.46     7.69    35.38	|
   979.90	|	 11557.44 19997.89 28288.90	|	     7.66    21.34    33.06	|	 14185.45 21429.93 30305.58	|	    23.44    32.69   -14.85	|	 13627.09 23647.62 29923.93	|	    40.32     3.97    34.44	|
   989.90	|	 11636.76 20213.73 28621.41	|	     8.22    21.82    33.44	|	 14398.75 21752.81 30142.92	|	    19.12    31.92   -17.55	|	 14023.97 23667.45 30263.01	|	    39.02    -0.06    33.32	|
   999.90	|	 11722.08 20434.45 28957.47	|	     8.86    22.32    33.76	|	 14566.28 22068.98 29958.35	|	    14.33    31.33   -19.13	|	 14406.68 23645.13 30588.68	|	    37.46    -4.45    31.69	|
  1009.90	|	 11814.07 20660.24 29296.36	|	     9.55    22.84    34.01	|	 14685.00 22378.75 29765.94	|	     9.43    30.52   -19.08	|	 14771.54 23578.65 30893.77	|	    35.41    -8.76    29.19	|
  1019.90	|	 11913.25 20891.21 29637.28	|	    10.29    23.36    34.16	|	 14755.47 22676.25 29581.54	|	     4.71    28.80   -17.64	|	 15112.81 23472.76 31170.70	|	    32.75   -12.23    26.18	|
  1029.90	|	 12019.97 21127.36 29979.31	|	    11.06    23.87    34.23	|	 14779.79 22951.57 29415.45	|	     0.19    26.15   -15.50	|	 15425.01 23337.31 31418.18	|	    29.63   -14.72    23.39	|
  1039.90	|	 12134.40 21368.56 30321.55	|	    11.83    24.37    34.21	|	 14759.84 23197.71 29272.93	|	    -4.14    23.04   -12.93	|	 15704.46 23180.51 31639.98	|	    26.21   -16.56    21.05	|
  1049.90	|	 12256.59 21614.56 30663.14	|	    12.61    24.83    34.10	|	 14697.91 23412.03 29158.29	|	    -8.19    19.82    -9.92	|	 15948.31 23007.53 31840.39	|	    22.51   -17.97    19.09	|
  1059.90	|	 12386.51 21864.98 31003.27	|	    13.38    25.25    33.91	|	 14597.18 23594.49 29076.25	|	   -11.88    16.69    -6.41	|	 16153.77 22822.25 32022.77	|	    18.53   -19.02    17.43	|
  1069.90	|	 12524.04 22119.30 31341.19	|	    14.13    25.61    33.66	|	 14461.72 23746.47 29031.65	|	   -15.13    13.74    -2.43	|	 16317.93 22628.45 32189.71	|	    14.25   -19.67    16.00	|
  1079.90	|	 12668.98 22376.88 31676.23	|	    14.86    25.90    33.34	|	 14296.34 23870.13 29029.06	|	   -17.86    11.04     1.98	|	 16437.94 22430.40 32343.49	|	     9.71   -19.86    14.79	|
  1089.90	|	 12821.05 22636.93 32007.75	|	    15.55    26.10    32.96	|	 14106.40 23968.19 29072.48	|	   -20.03     8.63     6.76	|	 16511.26 22233.06 32486.35	|	     4.93   -19.51    13.82	|
  1099.90	|	 12979.86 22898.60 32335.20	|	    16.20    26.21    32.52	|	 13897.66 24043.72 29165.18	|	   -21.61     6.54    11.82	|	 16536.00 22042.14 32620.66	|	     0.00   -18.56    13.09	|
  1109.90	|	 13144.89 23160.89 32658.08	|	    16.80    26.23    32.04	|	 13676.16 24100.09 29309.53	|	   -22.59     4.80    17.07	|	 16511.21 21864.03 32749.01	|	    -4.96   -16.95    12.63	|
  1119.90	|	 13315.52 23422.78 32975.97	|	    17.32    26.13    31.53	|	 13448.01 24140.84 29506.99	|	   -22.94     3.41    22.42	|	 16437.22 21705.51 32874.20	|	    -9.81   -14.64    12.46	|
  1129.90	|	 13490.93 23683.21 33288.52	|	    17.75    25.94    30.98	|	 13219.34 24169.59 29758.03	|	   -22.69     2.40    27.78	|	 16315.87 21573.46 32999.20	|	   -14.40   -11.66    12.59	|
  1139.90	|	 13670.19 23941.19 33595.49	|	    18.08    25.64    30.41	|	 12996.10 24189.95 30062.19	|	   -21.86     1.73    33.03	|	 16150.56 21474.37 33126.96	|	   -18.58    -8.06    13.01	|
  1149.90	|	 13852.26 24195.79 33896.73	|	    18.31    25.26    29.84	|	 12783.94 24205.42 30418.09	|	   -20.48     1.41    38.11	|	 15946.16 21413.93 33260.31	|	   -22.20    -3.95    13.70	|
  1159.90	|	 14035.99 24446.23 34192.21	|	    18.42    24.81    29.26	|	 12588.15 24219.30 30823.60	|	   -18.60     1.41    42.94	|	 15708.67 21396.65 33401.74	|	   -25.18     0.55    14.62	|
  1169.90	|	 14220.25 24691.90 34482.00	|	    18.41    24.31    28.70	|	 12413.55 24234.63 31275.88	|	   -16.25     1.70    47.46	|	 15444.84 21425.68 33553.30	|	   -27.47     5.29    15.72	|
  1179.90	|	 14403.89 24932.36 34766.29	|	    18.30    23.77    28.16	|	 12264.50 24254.11 31771.56	|	   -13.49     2.24    51.61	|	 15161.67 21502.74 33716.54	|	   -29.05    10.13    16.95	|
  1189.90	|	 14585.84 25167.32 35045.36	|	    18.08    23.22    27.66	|	 12144.89 24280.11 32306.86	|	   -10.37     2.99    55.38	|	 14865.96 21628.30 33892.47	|	   -29.98    14.97    18.25	|
  1199.90	|	 14765.14 25396.66 35319.55	|	    17.77    22.65    27.19	|	 12058.17 24314.54 32877.67	|	    -6.92     3.92    58.71	|	 14563.98 21801.78 34081.65	|	   -30.32    19.71    19.59	|
  1209.90	|	 14940.93 25620.35 35589.29	|	    17.38    22.09    26.77	|	 12007.50 24358.88 33479.64	|	    -3.17     4.96    61.60	|	 14261.16 22021.92 34284.24	|	   -30.17    24.29    20.93	|
  1219.90	|	 15112.48 25838.46 35855.04	|	    16.92    21.54    26.39	|	 11995.79 24414.02 34108.14	|	     0.87     6.07    64.01	|	 13961.94 22287.14 34500.23	|	   -29.62    28.72    22.27	|
  1229.90	|	 15279.16 26051.13 36117.29	|	    16.41    21.00    26.07	|	 12025.92 24480.12 34758.10	|	     5.20     7.14    65.88	|	 13669.64 22595.95 34729.64	|	   -28.81    33.02    23.63	|
  1239.90	|	 15440.47 26258.52 36376.59	|	    15.85    20.48    25.80	|	 12100.84 24556.32 35423.56	|	     9.83     8.07    67.08	|	 13386.33 22947.46 34973.18	|	   -27.84    37.28    25.12	|
